gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamMin,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamPoss,teamAST/TO,teamPace,teamSTL/TO,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptMin,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,opptPoss,opptPace,matchWinner
2011-06-10,Regular,2011,1,0,CON,Away,Loss,5,75.0,16.0,10.0,196.0,6.0,5.0,14.0,66.0,28.0,0.42,49.0,22.0,0.45,17.0,6.0,0.35,19.0,13.0,0.68,4.0,26.0,30.0,44.12,0.57,0.53,0.47,11.43,78.79,11.85,7.6,6.33,9.62,1.14,51.88,52.94,95.0,98.8,-3.8,0.39,19.13,78.95,1.6,96.67,0.6,0,1,CHI,Home,Win,5,78.0,22.0,12.0,194.0,6.0,6.0,19.0,66.0,33.0,0.5,52.0,28.0,0.54,14.0,5.0,0.36,15.0,7.0,0.47,7.0,31.0,38.0,55.88,0.67,0.56,0.54,21.21,88.57,14.18,7.74,7.74,12.24,1.18,65.62,67.65,100.65,96.77,3.88,0.46,23.55,1.83,0.5,77.5,95.88,CHI
2011-06-10,Regular,2011,1,0,NYL,Away,Win,4,81.0,16.0,12.0,197.0,8.0,3.0,20.0,71.0,35.0,0.49,55.0,29.0,0.53,16.0,6.0,0.38,5.0,5.0,1.0,9.0,23.0,32.0,50.79,0.46,0.56,0.54,30.0,69.7,14.08,10.89,4.08,7.32,1.14,57.12,57.99,110.29,108.93,1.36,0.47,16.53,73.44,1.33,89.47,0.67,1,0,IND,Home,Loss,5,80.0,14.0,12.0,194.0,4.0,2.0,10.0,64.0,29.0,0.45,41.0,20.0,0.49,23.0,9.0,0.39,18.0,13.0,0.72,10.0,21.0,31.0,49.21,0.48,0.59,0.52,30.3,70.0,14.3,5.62,2.81,3.64,1.25,54.0,55.67,112.49,113.89,-1.4,0.44,17.06,1.17,0.33,71.12,87.98,NYL
2011-06-10,Regular,2011,0,1,PHO,Away,Loss,5,84.0,18.0,13.0,194.0,4.0,0.0,19.0,73.0,32.0,0.44,50.0,22.0,0.44,23.0,10.0,0.43,12.0,10.0,0.83,13.0,23.0,36.0,55.38,0.56,0.56,0.51,36.11,79.31,14.24,5.34,0.0,0.0,1.15,54.5,56.19,112.06,130.74,-18.68,0.44,18.23,74.96,1.38,92.73,0.31,1,1,LAS,Home,Win,4,98.0,22.0,8.0,196.0,10.0,2.0,12.0,67.0,33.0,0.49,39.0,20.0,0.51,28.0,13.0,0.46,20.0,19.0,0.95,6.0,23.0,29.0,44.62,0.67,0.69,0.59,20.69,63.89,9.55,13.25,2.65,4.0,1.46,83.5,85.2,129.85,111.3,18.55,0.48,24.94,2.75,1.25,75.47,92.41,LAS
2011-06-10,Regular,2011,1,0,SAS,Away,Win,5,93.0,21.0,13.0,195.0,8.0,3.0,19.0,62.0,34.0,0.55,45.0,25.0,0.56,17.0,9.0,0.53,23.0,16.0,0.7,5.0,29.0,34.0,54.84,0.62,0.69,0.62,19.23,80.56,15.27,10.2,3.82,5.36,1.5,74.12,76.02,118.56,79.04,39.52,0.49,24.45,78.44,1.62,96.54,0.62,0,2,TUL,Home,Loss,2,62.0,15.0,13.0,194.0,7.0,3.0,26.0,66.0,23.0,0.35,56.0,21.0,0.38,10.0,2.0,0.2,17.0,14.0,0.82,7.0,21.0,28.0,45.16,0.65,0.44,0.36,19.44,80.77,15.03,9.42,4.04,6.67,0.94,27.88,28.74,83.45,125.17,-41.72,0.32,17.34,1.15,0.54,74.3,91.92,SAS
2011-06-11,Regular,2011,1,1,IND,Away,Win,0,86.0,17.0,23.0,195.0,7.0,6.0,17.0,53.0,30.0,0.57,36.0,22.0,0.61,17.0,8.0,0.47,21.0,18.0,0.86,8.0,19.0,27.0,51.92,0.57,0.75,0.64,44.44,55.88,26.98,9.53,8.17,10.53,1.62,59.12,60.64,117.07,108.9,8.17,0.44,20.3,73.46,0.74,90.41,0.3,2,0,NYL,Home,Loss,0,80.0,15.0,17.0,194.0,11.0,2.0,19.0,71.0,31.0,0.44,57.0,25.0,0.44,14.0,6.0,0.43,12.0,12.0,1.0,15.0,10.0,25.0,48.08,0.48,0.54,0.48,44.12,55.56,18.22,16.39,2.98,5.56,1.13,46.25,47.68,119.19,128.13,-8.94,0.42,15.35,0.88,0.65,67.12,83.04,IND
2011-06-11,Regular,2011,0,2,ATL,Away,Loss,1,74.0,16.0,18.0,195.0,5.0,1.0,22.0,75.0,29.0,0.39,62.0,27.0,0.44,13.0,2.0,0.15,18.0,14.0,0.78,17.0,29.0,46.0,65.71,0.55,0.47,0.4,47.22,85.29,17.84,6.5,1.3,2.27,0.99,42.75,43.85,96.15,111.75,-15.6,0.38,15.83,76.96,0.89,94.72,0.28,2,0,SAS,Home,Win,0,86.0,24.0,9.0,195.0,8.0,14.0,14.0,66.0,31.0,0.47,44.0,23.0,0.52,22.0,8.0,0.36,21.0,16.0,0.76,5.0,19.0,24.0,34.29,0.77,0.61,0.53,14.71,52.78,10.68,10.58,18.52,22.58,1.3,77.88,79.88,113.76,97.88,15.88,0.44,26.74,2.67,0.89,75.6,93.05,SAS
2011-06-11,Regular,2011,1,1,CHI,Away,Win,0,84.0,23.0,12.0,197.0,8.0,8.0,13.0,50.0,30.0,0.6,34.0,21.0,0.62,16.0,9.0,0.56,18.0,15.0,0.83,2.0,19.0,21.0,41.18,0.77,0.78,0.69,11.11,57.58,17.16,11.97,11.97,14.04,1.68,76.5,77.66,125.71,115.23,10.48,0.5,29.84,66.82,1.92,81.41,0.67,1,1,WAS,Home,Loss,1,77.0,14.0,12.0,194.0,6.0,1.0,17.0,70.0,31.0,0.44,57.0,27.0,0.47,13.0,4.0,0.31,12.0,11.0,0.92,14.0,16.0,30.0,58.82,0.45,0.53,0.47,42.42,88.89,13.75,8.91,1.49,2.94,1.1,46.5,47.94,114.36,124.76,-10.4,0.46,15.43,1.17,0.5,67.33,83.29,CHI
2011-06-12,Regular,2011,0,3,TUL,Away,Loss,1,79.0,14.0,15.0,195.0,7.0,5.0,22.0,58.0,29.0,0.5,49.0,26.0,0.53,9.0,3.0,0.33,20.0,18.0,0.9,6.0,19.0,25.0,43.1,0.48,0.63,0.53,21.43,63.33,18.34,9.41,6.72,9.8,1.36,48.25,49.49,106.25,121.05,-14.8,0.43,17.9,74.35,0.93,91.51,0.47,1,1,CON,Home,Win,1,90.0,22.0,13.0,195.0,8.0,1.0,16.0,70.0,34.0,0.49,51.0,29.0,0.57,19.0,5.0,0.26,20.0,17.0,0.85,11.0,22.0,33.0,56.9,0.65,0.6,0.52,36.67,78.57,14.16,10.24,1.28,2.04,1.29,67.5,69.23,115.15,101.07,14.08,0.47,22.87,1.69,0.62,78.16,96.2,CON
2011-06-14,Regular,2011,0,4,TUL,Away,Loss,1,74.0,13.0,11.0,197.0,8.0,2.0,20.0,73.0,29.0,0.4,49.0,20.0,0.41,24.0,9.0,0.38,12.0,7.0,0.58,12.0,22.0,34.0,48.57,0.45,0.49,0.46,29.27,75.86,12.32,10.66,2.67,4.55,1.01,45.25,45.94,98.64,109.3,-10.66,0.4,14.17,75.02,1.18,91.39,0.73,2,1,IND,Home,Win,2,82.0,24.0,14.0,196.0,9.0,7.0,14.0,61.0,29.0,0.48,44.0,21.0,0.48,17.0,8.0,0.47,19.0,16.0,0.84,7.0,29.0,36.0,51.43,0.83,0.63,0.54,24.14,70.73,16.79,11.85,9.22,14.29,1.34,76.88,78.45,107.98,97.45,10.53,0.43,26.48,1.71,0.64,75.94,92.99,IND
2011-06-14,Regular,2011,0,3,ATL,Away,Win,2,79.0,22.0,16.0,194.0,11.0,5.0,11.0,66.0,31.0,0.47,55.0,28.0,0.51,11.0,3.0,0.27,17.0,14.0,0.82,10.0,27.0,37.0,58.73,0.71,0.57,0.49,40.0,71.05,17.88,14.9,6.77,8.77,1.2,69.88,72.04,107.02,78.57,28.45,0.43,22.79,73.82,1.38,91.32,0.69,2,1,NYL,Home,Loss,2,58.0,8.0,14.0,195.0,11.0,7.0,15.0,69.0,25.0,0.36,57.0,24.0,0.42,12.0,1.0,0.08,10.0,7.0,0.7,11.0,15.0,26.0,41.27,0.32,0.41,0.37,28.95,60.0,16.02,16.4,10.44,12.73,0.84,29.25,30.0,86.46,117.77,-31.31,0.35,9.24,0.57,0.79,67.08,82.56,ATL
